t (ms),x (px),y (px)
0,0,0
41,0,0
107,0,0
173,0,0
240,0,0
306,0,0
373,0,0
440,0,0
506,0,0
573,0,0
640,0,0
706,0,0
773,0,0
840,0,0
906,0,0
973,0,0
1040,0,0
1106,0,0
1173,0,0
1240,0,0
1306,0,0
1373,0,0
1440,0,0
1506,0,0
1573,0,0
1640,0,0
1706,0,0
1773,0,0
1840,0,0
1906,0,0
1973,0,0
2039,0,0
2106,0,0
2173,0,0
2240,0,0
2306,0,0
2373,0,0
2440,0,0
2506,0,0
2573,0,0
2640,0,0
2706,0,0
2773,0,0
2839,0,0
2906,0,0
2972,0,0
3039,0,0
3106,0,0
3173,0,0
3240,0,0
3306,0,0
3373,0,0
3440,0,0
3506,0,0
3573,0,0
3640,0,0
3706,0,0
3773,0,0
3840,0,0
3906,0,0
3973,0,0
4040,0,0
4106,0,0
4173,0,0
4240,0,0
4306,0,0
4373,0,0
4440,0,0
4506,0,0
4573,0,0
4640,0,0
4706,0,0
4773,0,0
4840,0,0
4906,0,0
4973,0,0
5040,0,0
5106,0,0
5172,0,0
5240,0,0
5306,0,0
5373,0,0
5440,0,0
5506,0,0
5573,0,0
5640,0,0
5706,0,0
5773,0,0
5840,0,0
5906,0,0
5973,0,0
6040,0,0
6106,0,0
6173,0,0
6240,0,0
6306,0,0
6373,0,0
6440,0,0
6506,0,0
6573,0,0
6640,0,0
6706,0,0
6773,0,0
6839,0,0
